marker	drug	rho	p.value
ABL1.CP	GNF_2_BCR_ABL_only_allosteric_non_ATP_competetive	-0.16976284	0.003286247
ABL1.CP	GSK_1904529A_IGF1R	-0.077990558	0.059187905
ABL1.CP	GSK_650394_serum_glucocorticoid_regulated_kinase_1_	0.008140775	0.844101621
ABL1.CP	GSK269962A_ROCK	-0.057769543	0.32027351
ABL1.CP	GW_441756_Trk_A	-0.137814408	0.000719495
ABL1.CP	GW843682X_PLK1	-0.096370726	0.096252577
ABL1.CP	Imatinib_BCR_ABL_KIT_PDGFR	-0.041341187	0.474139572
ABL1.CP	IPA_3_not_given	0.149758213	0.000274702
ABL1.CP	JNJ_26854165_MDM2	-0.052751792	0.199952727
ABL1.CP	JNK_9L_JNK	0.087287076	0.033724402
ABL1.CP	JNK_Inhibitor_VIII_JNK	-0.098683613	0.015688414
ABL1.CP	JW_7_52_1_mTOR	-0.059997228	0.301119653
ABL1.CP	KIN001_135_IKKe	-0.05213815	0.368978843
ABL1.CP	KU_55933_ATM_IC50_13_nM_ATR_10_mM	0.041644267	0.30971185
ABL1.CP	Lapatinib_EGFR_ERBB2	-0.187398795	0.001245816
ABL1.CP	LAQ824_HDAC	0.095198128	0.02117673
ABL1.CP	Lenalidomide_TNF_alpha	0.025990291	0.525508432
ABL1.CP	LFM_A13_BTK	0.04493996	0.27743158
ABL1.CP	Methotrexate_Dihydrofolate_reductase_DHFR	0.147786503	0.000284092
ABL1.CP	MG_132_Proteosome	-0.18552374	0.001294708
ABL1.CP	Midostaurin_KIT	-0.062732882	0.127350701
ABL1.CP	Mitomycin_C_DNA_crosslinker	0.085346445	0.03888735
ABL1.CP	MK_2206_AKT1_2	0.06460179	0.122106944
ABL1.CP	MS_275_HDAC	0.025542614	0.661090034
ABL1.CP	Nilotinib_Bcr_Abl	0.016118776	0.698227327
ABL1.CP	NSC_87877_SHP1_2	-0.047978005	0.24379268
ABL1.CP	NU_7441_DNAPK	0.005211539	0.898884549
ABL1.CP	Nutlin_3a_p53_MDM2_interaction	0.141210125	0.000527854
ABL1.CP	NVP_BEZ235_PI3K_Class_1_and_mTORC1_2	-0.004609417	0.910890395
ABL1.CP	NVP_TAE684_ALK	-0.049683374	0.390385533
ABL1.CP	Obatoclax_Mesylate_BCL2_family	0.061155032	0.13923928
ABL1.CP	OSI_906_IGF1R	-0.00476846	0.908297398
ABL1.CP	OSU_03012_PDK1	0.068273742	0.098711952
ABL1.CP	PAC_1_Caspase_3_activator	0.100576642	0.014863708
ABL1.CP	Paclitaxel_Microtubules	-0.103694713	0.073394768
ABL1.CP	Parthenolide_NFkappaB	0.011275421	0.84605079
ABL1.CP	Pazopanib_VEGFR_PDGFRA_PDGFRB_KIT	-0.044227814	0.285124167
ABL1.CP	PD_0325901_MEK_1_2	-0.154065857	0.000167785
ABL1.CP	PD_0332991_Cdk_4_6	0.003503123	0.93325825
ABL1.CP	PD_173074_FGFR1_FGFR3	0.034939843	0.393321787
ABL1.CP	PF_02341066_MET_ALK	0.117521291	0.041599929
ABL1.CP	PF_4708671_p70_S6KA	-0.012598951	0.759673217
ABL1.CP	PF_562271_FAK	0.005237806	0.898803606
ABL1.CP	PHA_665752_MET	0.029097974	0.614487285
ABL1.CP	PLX4720_RAF	-0.028646174	0.484065168
ABL1.CP	Pyrimethamine_STAT3	0.030503236	0.599947141
ABL1.CP	QS11_ARFGAP	0.048285517	0.243188708
ABL1.CP	Rapamycin_mTOR	-0.030027425	0.603826434
ABL1.CP	RDEA119_MEK_1_2	-0.120565082	0.003303383
ABL1.CP	RO_3306_Cdk1	-0.065178113	0.111033972
ABL1.CP	Roscovitine_CDK_s	0.010184933	0.861947368
ABL1.CP	S_Trityl_L_cysteine_Eg5	-0.050341454	0.386531232
ABL1.CP	Salubrinal_GADD34_PP1C_phosphatase	-0.005533161	0.924478433
ABL1.CP	SB_216763_GSKa_b	0.005077751	0.903634929
ABL1.CP	SB590885_BRAF	0.038411006	0.355380216
ABL1.CP	Shikonin_not_given	0.078398955	0.056594133
ABL1.CP	SL_0101_1_RSK_AURKB_PIM3	-0.065212996	0.112046244
ABL1.CP	Sorafenib_PDGFRA_PDGFRB_KDR_KIT_FLT3	0.018054787	0.755865923
ABL1.CP	Sunitinib_PDGFRA_PDGFRB_KDR_KIT_FLT3	0.045234774	0.436575041
ABL1.CP	Temsirolimus_mTOR	-0.012866642	0.753323911
ABL1.CP	TGX221_PI3K_beta	0.000425299	0.994166767
ABL1.CP	Thapsigargin_ATPase_Ca_transporting_cardiac_muscle_slow_twitch_2	-0.020541091	0.619726642
ABL1.CP	Tipifarnib_Farnesyl_transferase	-0.001032742	0.980097498
ABL1.CP	TW_37_BCL_2_BCL_XL	0.08180646	0.046638776
ABL1.CP	Vinblastine_Microtubules	0.09357057	0.022001967
ABL1.CP	Vinorelbine_Microtubules	0.022594468	0.583242055
ABL1.CP	Vorinostat_HDAC_inhibitor_Class_I_IIa_IIb_IV	0.142633981	0.000462615
ABL1.CP	VX_680_Aurora_kinase_A_B_C_FLT_3_ABL1_JAK2	-0.012497346	0.829892583
ABL1.CP	VX_702_p38_MAPK	0.029992387	0.463753922
ABL1.CP	WH_4_023_SRC_family_ABL	-0.111283218	0.054992333
ABL1.CP	WZ_1_84_BMX	-0.012575819	0.828840842
ABL1.CP	X17_AAG_Hsp90	-0.13309163	0.00109433
ABL1.CP	X681640_Wee1_Chk1	0.000930108	0.982167451
ABL1.CP	XMD8_85_Erk5	0.133576577	0.02174426
ABL1.CP	Z_LLNle_CHO_gamma_secretase	0.025173555	0.665156313
ABL1.CP	ZM_447439_Aurora_B	0.059565615	0.151941426
ABL2.CP	A_443654_AKT1_2_3	0.116302943	0.044848266
ABL2.CP	A_770041_Src_family	0.046640356	0.421658965
ABL2.CP	ABT_263_Bcl_2_Bcl_xL_and_Bcl_w	0.056114225	0.170194715
ABL2.CP	ABT_888_PARP1_2	0.065620203	0.108627015
ABL2.CP	AG_014699_PARP1_2_	0.036405922	0.376580001
ABL2.CP	AICAR_AMPK_agonist	0.080204124	0.049760698
ABL2.CP	AKT_inhibitor_VIII_AKT1_2	0.06760393	0.100325338
ABL2.CP	AMG_706_VEGFR_RET_c_KIT_PDGFR	-0.040915619	0.317448301
ABL2.CP	AP_24534_Bcr_Abl	0.103346024	0.011871452
ABL2.CP	AS601245_not_given	-0.004353412	0.916248515
ABL2.CP	ATRA_Ligand_for_retinoic_acid_and_retinoid_X_receptors	0.056945526	0.163943475
ABL2.CP	AUY922_HSP90	0.146579135	0.000370891
ABL2.CP	Axitinib_PDGFR_KIT_VEGFR	0.063647783	0.119691366
ABL2.CP	AZ628_BRAF	0.126430998	0.029100054
ABL2.CP	AZD_0530_Src_Abl	0.066592798	0.248606196
ABL2.CP	AZD_2281_PARP1_2	0.150618975	0.000215814
ABL2.CP	AZD6244_MEK_1_2	0.111457934	0.0075209
ABL2.CP	AZD6482_PI3K_beta	-0.015964836	0.70146262
ABL2.CP	AZD6482_PI3Kb	0.077018184	0.061102213
ABL2.CP	AZD7762_Chk_1_2	0.078390111	0.055174327
ABL2.CP	AZD8055_mTORC1_2	0.089689144	0.029108211
ABL2.CP	BAY_61_3606_spleen_tyrosine_kinase	0.134625024	0.001087507
ABL2.CP	Bexarotene_Retinioic_acid_X_family_agonist	0.015277759	0.712077597
ABL2.CP	BI_2536_PLK1_2_3	0.043444868	0.45419553
ABL2.CP	BIBW2992_EGFR_HER2	0.020712246	0.612915067
ABL2.CP	Bicalutamide_Androgen_receptor	-0.060671549	0.142398283
ABL2.CP	BIRB_0796_p38_JNK2	-0.024962502	0.542018797
ABL2.CP	Bleomycin_not_given	0.117351373	0.004447495
ABL2.CP	BMS_509744_IL2_inducible_T_cell_kinase_ITK	0.167109865	0.003756696
ABL2.CP	BMS_536924_IGF_1R	0.108138774	0.061825956
ABL2.CP	BMS_708163_gamma_secretase_complex	-0.009775364	0.812230854
ABL2.CP	BMS_754807_IGF1R	0.058912833	0.154353604
ABL2.CP	Bortezomib_Proteasome	-0.008055145	0.890053344
ABL2.CP	Bosutinib_SRC_ABL_TEC	0.127168674	0.001817399
ABL2.CP	Bryostatin_1_PRKC	-0.021089658	0.610406597
ABL2.CP	BX_795_TBK1_PDK1_IKK_AURKB_C	0.064065656	0.117892859
ABL2.CP	Camptothecin_DNA_topoisomerase_I	0.145178632	0.00036434
ABL2.CP	CCT007093_PPM1D	-0.029302498	0.476334869
ABL2.CP	CCT018159_HSP90	0.064605154	0.118868957
ABL2.CP	CEP_701_FLT3_JAK2_NTRK1_RET	0.131659005	0.001239533
ABL2.CP	CGP_082996_CDK4	0.075305947	0.194851423
ABL2.CP	CGP_60474_CDK_1_2_5_7_9	0.11009745	0.05764817
ABL2.CP	CHIR_99021_GSK3B	0.017564801	0.669743771
ABL2.CP	CI_1040_MEK_1_2	0.072952534	0.075382286
ABL2.CP	Cisplatin_DNA_crosslinking	0.080382411	0.049253475
ABL2.CP	CMK_Rsk	-0.00786852	0.892403978
ABL2.CP	Cyclopamine_SMO	0.048470956	0.406838981
ABL2.CP	Cytarabine_Inhibits_DNA_synthesis	0.105769825	0.009582998
ABL2.CP	Dasatinib_ABL_SRC_BMX_pan_Y_KIT_PDGFR	0.017473571	0.763875254
ABL2.CP	DMOG_Prolyl_4_Hydroxylase	0.041890129	0.308904547
ABL2.CP	Docetaxel_Microtubules	0.018115592	0.658142035
ABL2.CP	Doxorubicin_DNA	0.106871419	0.009626138
ABL2.CP	EHT_1864_Rac_GTPases	0.101750871	0.013174969
ABL2.CP	Elesclomol_Hsp70	0.028524962	0.485917297
ABL2.CP	Embelin_XIAP	0.016008613	0.698959946
ABL2.CP	Epothilone_B_Microtubules	0.074707942	0.07073853
ABL2.CP	Erlotinib_EGFR	-0.021423041	0.723090323
ABL2.CP	Etoposide_not_given	0.119718615	0.003531649
ABL2.CP	FH535_not_given	0.008867242	0.830391807
ABL2.CP	FTI_277_Farnesyl_transferase	0.027466783	0.504766345
ABL2.CP	GDC_0449_SMO	0.134232418	0.000990111
ABL2.CP	GDC0941_PI3K_class_1	0.020218099	0.624059927
ABL2.CP	Gefitinib_EGFR	0.062416723	0.127031335
ABL2.CP	Gemcitabine_not_given	0.070978602	0.086032727
ABL2.CP	GNF_2_BCR_ABL_only_allosteric_non_ATP_competetive	0.009122499	0.875386571
ABL2.CP	GSK_1904529A_IGF1R	-0.00403926	0.922272357
ABL2.CP	GSK_650394_serum_glucocorticoid_regulated_kinase_1_	0.088246183	0.03269402
ABL2.CP	GSK269962A_ROCK	-0.008371212	0.885575714
ABL2.CP	GW_441756_Trk_A	0.004436379	0.913716649
ABL2.CP	GW843682X_PLK1	0.067409758	0.245209661
ABL2.CP	Imatinib_BCR_ABL_KIT_PDGFR	-0.008722299	0.880013837
ABL2.CP	IPA_3_not_given	0.090654792	0.028209944
ABL2.CP	JNJ_26854165_MDM2	0.096647978	0.018668502
ABL2.CP	JNK_9L_JNK	0.144490331	0.000420782
ABL2.CP	JNK_Inhibitor_VIII_JNK	-0.005863348	0.886129189
ABL2.CP	JW_7_52_1_mTOR	0.06067107	0.295713366
ABL2.CP	KIN001_135_IKKe	0.019284378	0.739819634
ABL2.CP	KU_55933_ATM_IC50_13_nM_ATR_10_mM	0.071915858	0.079130538
ABL2.CP	Lapatinib_EGFR_ERBB2	-0.042207762	0.470939872
ABL2.CP	LAQ824_HDAC	0.093357005	0.023818393
ABL2.CP	Lenalidomide_TNF_alpha	0.144700827	0.000381162
ABL2.CP	LFM_A13_BTK	0.041669417	0.313937949
ABL2.CP	Methotrexate_Dihydrofolate_reductase_DHFR	0.101978394	0.012518981
ABL2.CP	MG_132_Proteosome	-0.07538017	0.194410538
ABL2.CP	Midostaurin_KIT	0.057694839	0.160922092
ABL2.CP	Mitomycin_C_DNA_crosslinker	0.112778077	0.006276744
ABL2.CP	MK_2206_AKT1_2	0.082001528	0.049571587
ABL2.CP	MS_275_HDAC	0.002785917	0.961868267
ABL2.CP	Nilotinib_Bcr_Abl	0.11466313	0.005657257
ABL2.CP	NSC_87877_SHP1_2	-0.020434153	0.619763611
ABL2.CP	NU_7441_DNAPK	0.025975215	0.526443534
ABL2.CP	Nutlin_3a_p53_MDM2_interaction	0.227570127	1.78E-08
ABL2.CP	NVP_BEZ235_PI3K_Class_1_and_mTORC1_2	0.113226334	0.005816208
ABL2.CP	NVP_TAE684_ALK	0.008050974	0.889370928
ABL2.CP	Obatoclax_Mesylate_BCL2_family	0.062519751	0.130612616
ABL2.CP	OSI_906_IGF1R	0.060231172	0.145323132
ABL2.CP	OSU_03012_PDK1	0.118885513	0.003951651
ABL2.CP	PAC_1_Caspase_3_activator	0.002216972	0.957291563
ABL2.CP	Paclitaxel_Microtubules	0.065585019	0.258249449
ABL2.CP	Parthenolide_NFkappaB	-0.029592816	0.610278546
ABL2.CP	Pazopanib_VEGFR_PDGFRA_PDGFRB_KIT	-0.032240603	0.435980636
ABL2.CP	PD_0325901_MEK_1_2	0.00343812	0.933472648
ABL2.CP	PD_0332991_Cdk_4_6	0.176257217	2.17E-05
ABL2.CP	PD_173074_FGFR1_FGFR3	0.125654385	0.002062224
ABL2.CP	PF_02341066_MET_ALK	0.068969638	0.232861186
ABL2.CP	PF_4708671_p70_S6KA	-0.036274384	0.378307846
ABL2.CP	PF_562271_FAK	0.082061508	0.045956816
ABL2.CP	PHA_665752_MET	0.028373997	0.62332632
ABL2.CP	PLX4720_RAF	0.035170693	0.390201433
ABL2.CP	Pyrimethamine_STAT3	0.109375036	0.059317595
ABL2.CP	QS11_ARFGAP	0.04214776	0.308410308
ABL2.CP	Rapamycin_mTOR	0.033944493	0.557449759
ABL2.CP	RDEA119_MEK_1_2	-0.01065093	0.795937769
ABL2.CP	RO_3306_Cdk1	0.061082604	0.13537526
ABL2.CP	Roscovitine_CDK_s	0.052638499	0.368471082
ABL2.CP	S_Trityl_L_cysteine_Eg5	0.058589804	0.313438957
ABL2.CP	Salubrinal_GADD34_PP1C_phosphatase	0.045322573	0.437241958
ABL2.CP	SB_216763_GSKa_b	0.02905643	0.488343547
ABL2.CP	SB590885_BRAF	0.069550877	0.093960034
ABL2.CP	Shikonin_not_given	0.033624781	0.414141035
ABL2.CP	SL_0101_1_RSK_AURKB_PIM3	0.062708955	0.126531597
ABL2.CP	Sorafenib_PDGFRA_PDGFRB_KDR_KIT_FLT3	0.120913603	0.036644134
ABL2.CP	Sunitinib_PDGFRA_PDGFRB_KDR_KIT_FLT3	0.157088998	0.006582286
ABL2.CP	Temsirolimus_mTOR	0.087645586	0.031974616
ABL2.CP	TGX221_PI3K_beta	0.040177112	0.489610386
ABL2.CP	Thapsigargin_ATPase_Ca_transporting_cardiac_muscle_slow_twitch_2	0.009747444	0.813849863
ABL2.CP	Tipifarnib_Farnesyl_transferase	0.086419539	0.036488397
ABL2.CP	TW_37_BCL_2_BCL_XL	0.082890328	0.043798251
ABL2.CP	Vinblastine_Microtubules	0.177217138	1.28E-05
ABL2.CP	Vinorelbine_Microtubules	0.119783243	0.003513729
ABL2.CP	Vorinostat_HDAC_inhibitor_Class_I_IIa_IIb_IV	0.100618057	0.013751677
ABL2.CP	VX_680_Aurora_kinase_A_B_C_FLT_3_ABL1_JAK2	0.081464305	0.160702115
ABL2.CP	VX_702_p38_MAPK	0.120697076	0.003089895
ABL2.CP	WH_4_023_SRC_family_ABL	0.041197436	0.478641044
ABL2.CP	WZ_1_84_BMX	0.156538544	0.006776568
ABL2.CP	X17_AAG_Hsp90	-0.024977182	0.541781164
ABL2.CP	X681640_Wee1_Chk1	0.169405486	4.12E-05
ABL2.CP	XMD8_85_Erk5	0.113822865	0.050816814
ABL2.CP	Z_LLNle_CHO_gamma_secretase	-0.014021745	0.809518372
ABL2.CP	ZM_447439_Aurora_B	0.077214199	0.063122509
ACSL3.CP	A_443654_AKT1_2_3	0.068579916	0.237885904
ACSL3.CP	A_770041_Src_family	-0.04681213	0.419949362
ACSL3.CP	ABT_263_Bcl_2_Bcl_xL_and_Bcl_w	0.079360404	0.052220698
ACSL3.CP	ABT_888_PARP1_2	0.068381299	0.09451284
ACSL3.CP	AG_014699_PARP1_2_	0.047263785	0.250890659
ACSL3.CP	AICAR_AMPK_agonist	0.007678577	0.851237762
ACSL3.CP	AKT_inhibitor_VIII_AKT1_2	-0.027231296	0.508427446
ACSL3.CP	AMG_706_VEGFR_RET_c_KIT_PDGFR	-0.062337914	0.127512867
ACSL3.CP	AP_24534_Bcr_Abl	-0.02633695	0.52245725
ACSL3.CP	AS601245_not_given	-0.004687188	0.909853645
ACSL3.CP	ATRA_Ligand_for_retinoic_acid_and_retinoid_X_receptors	0.042143306	0.30313283
ACSL3.CP	AUY922_HSP90	0.064737797	0.117481559
ACSL3.CP	Axitinib_PDGFR_KIT_VEGFR	0.066549406	0.103702299
ACSL3.CP	AZ628_BRAF	0.086346065	0.136994123
ACSL3.CP	AZD_0530_Src_Abl	-0.054491835	0.345301788
ACSL3.CP	AZD_2281_PARP1_2	0.139455569	0.000619998
ACSL3.CP	AZD6244_MEK_1_2	0.016125988	0.69984177
ACSL3.CP	AZD6482_PI3K_beta	-0.001960555	0.962454417
ACSL3.CP	AZD6482_PI3Kb	-0.029070955	0.480199878
ACSL3.CP	AZD7762_Chk_1_2	0.083588746	0.040845233
ACSL3.CP	AZD8055_mTORC1_2	0.064836319	0.115058083
ACSL3.CP	BAY_61_3606_spleen_tyrosine_kinase	0.160373141	9.65E-05
ACSL3.CP	Bexarotene_Retinioic_acid_X_family_agonist	-0.006559037	0.874109967
ACSL3.CP	BI_2536_PLK1_2_3	0.005805683	0.920368154
ACSL3.CP	BIBW2992_EGFR_HER2	-0.12509233	0.002160524
ACSL3.CP	Bicalutamide_Androgen_receptor	-0.110302786	0.007526463
ACSL3.CP	BIRB_0796_p38_JNK2	-0.049815406	0.223446278
ACSL3.CP	Bleomycin_not_given	0.069976435	0.090568154
ACSL3.CP	BMS_509744_IL2_inducible_T_cell_kinase_ITK	0.111594989	0.053904899
ACSL3.CP	BMS_536924_IGF_1R	-0.003052238	0.95808474
ACSL3.CP	BMS_708163_gamma_secretase_complex	0.005419241	0.895229763
ACSL3.CP	BMS_754807_IGF1R	0.035815749	0.386800667
ACSL3.CP	Bortezomib_Proteasome	-0.024144263	0.678580845
ACSL3.CP	Bosutinib_SRC_ABL_TEC	0.034798343	0.395241841
ACSL3.CP	Bryostatin_1_PRKC	-0.070267642	0.089230915
ACSL3.CP	BX_795_TBK1_PDK1_IKK_AURKB_C	0.018500744	0.651895355
ACSL3.CP	Camptothecin_DNA_topoisomerase_I	0.059663967	0.144704514
ACSL3.CP	CCT007093_PPM1D	-0.001915642	0.962871451
ACSL3.CP	CCT018159_HSP90	-0.032264788	0.436424054
ACSL3.CP	CEP_701_FLT3_JAK2_NTRK1_RET	0.130192309	0.001406402
ACSL3.CP	CGP_082996_CDK4	0.023497676	0.68622464
ACSL3.CP	CGP_60474_CDK_1_2_5_7_9	0.077955216	0.179562549
ACSL3.CP	CHIR_99021_GSK3B	-0.05579858	0.175154832
ACSL3.CP	CI_1040_MEK_1_2	0.027618134	0.501335251
ACSL3.CP	Cisplatin_DNA_crosslinking	0.036104047	0.377739217
ACSL3.CP	CMK_Rsk	0.042736618	0.462349418
ACSL3.CP	Cyclopamine_SMO	0.050166198	0.39060798
ACSL3.CP	Cytarabine_Inhibits_DNA_synthesis	0.067279937	0.099956189
ACSL3.CP	Dasatinib_ABL_SRC_BMX_pan_Y_KIT_PDGFR	-0.062249204	0.28411964
ACSL3.CP	DMOG_Prolyl_4_Hydroxylase	0.054840194	0.182695204
ACSL3.CP	Docetaxel_Microtubules	-0.074879994	0.067042007
ACSL3.CP	Doxorubicin_DNA	0.096831467	0.019050141
ACSL3.CP	EHT_1864_Rac_GTPases	0.035037037	0.394397907
ACSL3.CP	Elesclomol_Hsp70	0.003341534	0.934955507
ACSL3.CP	Embelin_XIAP	0.003006521	0.942104583
ACSL3.CP	Epothilone_B_Microtubules	0.029892595	0.470147283
ACSL3.CP	Erlotinib_EGFR	-0.050100878	0.407058248
ACSL3.CP	Etoposide_not_given	0.104363719	0.011058218
ACSL3.CP	FH535_not_given	-0.016963596	0.681954236
ACSL3.CP	FTI_277_Farnesyl_transferase	-0.052116376	0.205431931
ACSL3.CP	GDC_0449_SMO	0.067828154	0.097216309
ACSL3.CP	GDC0941_PI3K_class_1	0.005681552	0.890467349
ACSL3.CP	Gefitinib_EGFR	-0.095062729	0.019964063
ACSL3.CP	Gemcitabine_not_given	0.07160574	0.083288878
ACSL3.CP	GNF_2_BCR_ABL_only_allosteric_non_ATP_competetive	-0.047738887	0.411586046
ACSL3.CP	GSK_1904529A_IGF1R	-0.052177867	0.207217087
ACSL3.CP	GSK_650394_serum_glucocorticoid_regulated_kinase_1_	0.087119125	0.034993135
ACSL3.CP	GSK269962A_ROCK	-0.064744288	0.265222656
ACSL3.CP	GW_441756_Trk_A	-0.061969152	0.129784873
ACSL3.CP	GW843682X_PLK1	0.007656581	0.895109235
ACSL3.CP	Imatinib_BCR_ABL_KIT_PDGFR	-0.036152547	0.531404459
ACSL3.CP	IPA_3_not_given	0.148243003	0.000317197
ACSL3.CP	JNJ_26854165_MDM2	0.020166448	0.624357814
ACSL3.CP	JNK_9L_JNK	0.061094243	0.137614701
ACSL3.CP	JNK_Inhibitor_VIII_JNK	-0.054315621	0.184326902
ACSL3.CP	JW_7_52_1_mTOR	0.021930497	0.705675189
ACSL3.CP	KIN001_135_IKKe	-0.003755976	0.948432703
ACSL3.CP	KU_55933_ATM_IC50_13_nM_ATR_10_mM	0.000919387	0.982115441
ACSL3.CP	Lapatinib_EGFR_ERBB2	-0.084466972	0.14853654
ACSL3.CP	LAQ824_HDAC	0.087012096	0.035218457
ACSL3.CP	Lenalidomide_TNF_alpha	0.060805126	0.137162588
ACSL3.CP	LFM_A13_BTK	0.001359052	0.973811012
ACSL3.CP	Methotrexate_Dihydrofolate_reductase_DHFR	0.130911942	0.001322104
ACSL3.CP	MG_132_Proteosome	-0.06294149	0.278787857
ACSL3.CP	Midostaurin_KIT	-0.028840757	0.483684725
ACSL3.CP	Mitomycin_C_DNA_crosslinker	0.05297617	0.200341788
ACSL3.CP	MK_2206_AKT1_2	0.013778374	0.741851537
ACSL3.CP	MS_275_HDAC	0.056529227	0.331610302
ACSL3.CP	Nilotinib_Bcr_Abl	0.085443033	0.039509113
ACSL3.CP	NSC_87877_SHP1_2	-0.001309213	0.974641746
ACSL3.CP	NU_7441_DNAPK	-0.022467167	0.583779762
ACSL3.CP	Nutlin_3a_p53_MDM2_interaction	0.199438212	8.63E-07
ACSL3.CP	NVP_BEZ235_PI3K_Class_1_and_mTORC1_2	0.014600466	0.72295465
ACSL3.CP	NVP_TAE684_ALK	0.002769486	0.961836621
ACSL3.CP	Obatoclax_Mesylate_BCL2_family	0.065397826	0.113780502
ACSL3.CP	OSI_906_IGF1R	0.014614315	0.724059524
ACSL3.CP	OSU_03012_PDK1	0.098025324	0.017615911
ACSL3.CP	PAC_1_Caspase_3_activator	0.023036833	0.577837784
